time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,new_la_code,la_name,sex_of_school_description,phase_type_grouping,type_of_establishment,denomination,admissions_policy,urban_rural,academy_flag,number_of_schools,headcount_of_pupils
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,E06000062,West Northamptonshire,Total,State-funded primary,Total,Total,Total,Total,Total,148,35330
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,E06000062,West Northamptonshire,Total,State-funded secondary,Total,Total,Total,Total,Total,23,31188
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,E06000062,West Northamptonshire,Total,State-funded special school,Total,Total,Total,Total,Total,8,1192
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,941,E06000062,West Northamptonshire,Total,Total,Total,Total,Total,Total,Total,205,71298
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,E10000007,Derbyshire,Total,Independent school,Total,Total,Total,Total,Total,28,3938
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,E10000007,Derbyshire,Total,State-funded AP school,Total,Total,Total,Total,Total,3,356
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,E10000007,Derbyshire,Total,State-funded nursery,Total,Total,Total,Total,Total,8,511
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,E10000007,Derbyshire,Total,State-funded primary,Total,Total,Total,Total,Total,353,60524
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,E10000007,Derbyshire,Total,State-funded secondary,Total,Total,Total,Total,Total,45,46331
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,E10000007,Derbyshire,Total,State-funded special school,Total,Total,Total,Total,Total,10,1278
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,830,E10000007,Derbyshire,Total,Total,Total,Total,Total,Total,Total,447,112938
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,E10000018,Leicestershire,Total,Independent school,Total,Total,Total,Total,Total,33,6715
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,E10000018,Leicestershire,Total,State-funded AP school,Total,Total,Total,Total,Total,1,6
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,E10000018,Leicestershire,Total,State-funded nursery,Total,Total,Total,Total,Total,2,103
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,E10000018,Leicestershire,Total,State-funded primary,Total,Total,Total,Total,Total,229,54670
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,E10000018,Leicestershire,Total,State-funded secondary,Total,Total,Total,Total,Total,46,44449
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,E10000018,Leicestershire,Total,State-funded special school,Total,Total,Total,Total,Total,8,1818
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,855,E10000018,Leicestershire,Total,Total,Total,Total,Total,Total,Total,319,107761
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,E10000019,Lincolnshire,Total,Independent school,Total,Total,Total,Total,Total,23,3810
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,E10000019,Lincolnshire,Total,State-funded AP school,Total,Total,Total,Total,Total,5,179
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,E10000019,Lincolnshire,Total,State-funded nursery,Total,Total,Total,Total,Total,5,472
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,E10000019,Lincolnshire,Total,State-funded primary,Total,Total,Total,Total,Total,280,56168
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,E10000019,Lincolnshire,Total,State-funded secondary,Total,Total,Total,Total,Total,54,49910
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,E10000019,Lincolnshire,Total,State-funded special school,Total,Total,Total,Total,Total,17,2256
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,925,E10000019,Lincolnshire,Total,Total,Total,Total,Total,Total,Total,384,112795
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,E10000024,Nottinghamshire,Total,Independent school,Total,Total,Total,Total,Total,17,1586
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,E10000024,Nottinghamshire,Total,Non-maintained special school,Total,Total,Total,Total,Total,1,94
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,E10000024,Nottinghamshire,Total,State-funded primary,Total,Total,Total,Total,Total,284,71480
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,E10000024,Nottinghamshire,Total,State-funded secondary,Total,Total,Total,Total,Total,45,55352
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,E10000024,Nottinghamshire,Total,State-funded special school,Total,Total,Total,Total,Total,11,1258
202324,Academic year,Local authority,E92000001,England,East Midlands,E12000004,891,E10000024,Nottinghamshire,Total,Total,Total,Total,Total,Total,Total,358,129770
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,874,E06000031,Peterborough,Total,Independent school,Total,Total,Total,Total,Total,4,646
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,874,E06000031,Peterborough,Total,State-funded AP school,Total,Total,Total,Total,Total,1,124
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,874,E06000031,Peterborough,Total,State-funded nursery,Total,Total,Total,Total,Total,1,119
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,874,E06000031,Peterborough,Total,State-funded primary,Total,Total,Total,Total,Total,60,21214
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,874,E06000031,Peterborough,Total,State-funded secondary,Total,Total,Total,Total,Total,15,19276
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,874,E06000031,Peterborough,Total,State-funded special school,Total,Total,Total,Total,Total,5,719
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,874,E06000031,Peterborough,Total,Total,Total,Total,Total,Total,Total,86,42098
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,821,E06000032,Luton,Total,Independent school,Total,Total,Total,Total,Total,7,896
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,821,E06000032,Luton,Total,State-funded AP school,Total,Total,Total,Total,Total,1,69
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,821,E06000032,Luton,Total,State-funded nursery,Total,Total,Total,Total,Total,6,777
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,821,E06000032,Luton,Total,State-funded primary,Total,Total,Total,Total,Total,46,23587
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,821,E06000032,Luton,Total,State-funded secondary,Total,Total,Total,Total,Total,13,16246
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,821,E06000032,Luton,Total,State-funded special school,Total,Total,Total,Total,Total,4,838
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,821,E06000032,Luton,Total,Total,Total,Total,Total,Total,Total,77,42413
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,882,E06000033,Southend-on-Sea,Total,Independent school,Total,Total,Total,Total,Total,7,1257
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,882,E06000033,Southend-on-Sea,Total,State-funded AP school,Total,Total,Total,Total,Total,2,80
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,882,E06000033,Southend-on-Sea,Total,State-funded primary,Total,Total,Total,Total,Total,33,15821
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,882,E06000033,Southend-on-Sea,Total,State-funded secondary,Total,Total,Total,Total,Total,12,15058
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,882,E06000033,Southend-on-Sea,Total,State-funded special school,Total,Total,Total,Total,Total,5,687
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,882,E06000033,Southend-on-Sea,Total,Total,Total,Total,Total,Total,Total,59,32903
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,883,E06000034,Thurrock,Total,State-funded AP school,Total,Total,Total,Total,Total,1,56
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,883,E06000034,Thurrock,Total,State-funded primary,Total,Total,Total,Total,Total,39,18889
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,883,E06000034,Thurrock,Total,State-funded secondary,Total,Total,Total,Total,Total,13,12503
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,883,E06000034,Thurrock,Total,State-funded special school,Total,Total,Total,Total,Total,3,530
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,883,E06000034,Thurrock,Total,Total,Total,Total,Total,Total,Total,56,31978
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,822,E06000055,Bedford,Total,Independent school,Total,Total,Total,Total,Total,10,4595
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,822,E06000055,Bedford,Total,State-funded AP school,Total,Total,Total,Total,Total,1,52
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,822,E06000055,Bedford,Total,State-funded nursery,Total,Total,Total,Total,Total,2,286
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,822,E06000055,Bedford,Total,State-funded primary,Total,Total,Total,Total,Total,54,17125
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,822,E06000055,Bedford,Total,State-funded secondary,Total,Total,Total,Total,Total,15,14064
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,822,E06000055,Bedford,Total,State-funded special school,Total,Total,Total,Total,Total,3,436
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,822,E06000055,Bedford,Total,Total,Total,Total,Total,Total,Total,85,36558
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,823,E06000056,Central Bedfordshire,Total,Independent school,Total,Total,Total,Total,Total,2,253
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,823,E06000056,Central Bedfordshire,Total,State-funded AP school,Total,Total,Total,Total,Total,1,74
202324,Academic year,Local authority,E92000001,England,East of England,E12000006,823,E06000056,Central Bedfordshire,Total,State-funded nursery,Total,Total,Total,Total,Total,2,216
