time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,new_la_code,la_name,sex_of_school_description,phase_type_grouping,type_of_establishment,denomination,admissions_policy,urban_rural,academy_flag,number_of_schools,headcount_of_pupils
202324,Academic year,Local authority,E92000001,England,London,E12000007,316,E09000025,Newham,Total,State-funded nursery,Total,Total,Total,Total,Total,7,1074
202324,Academic year,Local authority,E92000001,England,London,E12000007,316,E09000025,Newham,Total,State-funded primary,Total,Total,Total,Total,Total,68,33905
202324,Academic year,Local authority,E92000001,England,London,E12000007,316,E09000025,Newham,Total,State-funded secondary,Total,Total,Total,Total,Total,23,28938
202324,Academic year,Local authority,E92000001,England,London,E12000007,316,E09000025,Newham,Total,State-funded special school,Total,Total,Total,Total,Total,3,271
202324,Academic year,Local authority,E92000001,England,London,E12000007,316,E09000025,Newham,Total,Total,Total,Total,Total,Total,Total,112,65477
202324,Academic year,Local authority,E92000001,England,London,E12000007,317,E09000026,Redbridge,Total,Independent school,Total,Total,Total,Total,Total,14,3101
202324,Academic year,Local authority,E92000001,England,London,E12000007,317,E09000026,Redbridge,Total,State-funded AP school,Total,Total,Total,Total,Total,3,98
202324,Academic year,Local authority,E92000001,England,London,E12000007,317,E09000026,Redbridge,Total,State-funded primary,Total,Total,Total,Total,Total,52,28787
202324,Academic year,Local authority,E92000001,England,London,E12000007,317,E09000026,Redbridge,Total,State-funded secondary,Total,Total,Total,Total,Total,19,28886
202324,Academic year,Local authority,E92000001,England,London,E12000007,317,E09000026,Redbridge,Total,State-funded special school,Total,Total,Total,Total,Total,5,716
202324,Academic year,Local authority,E92000001,England,London,E12000007,317,E09000026,Redbridge,Total,Total,Total,Total,Total,Total,Total,93,61588
202324,Academic year,Local authority,E92000001,England,London,E12000007,318,E09000027,Richmond upon Thames,Total,Independent school,Total,Total,Total,Total,Total,22,10523
202324,Academic year,Local authority,E92000001,England,London,E12000007,318,E09000027,Richmond upon Thames,Total,State-funded nursery,Total,Total,Total,Total,Total,1,92
202324,Academic year,Local authority,E92000001,England,London,E12000007,318,E09000027,Richmond upon Thames,Total,State-funded primary,Total,Total,Total,Total,Total,45,16312
202324,Academic year,Local authority,E92000001,England,London,E12000007,318,E09000027,Richmond upon Thames,Total,State-funded secondary,Total,Total,Total,Total,Total,11,12254
202324,Academic year,Local authority,E92000001,England,London,E12000007,318,E09000027,Richmond upon Thames,Total,State-funded special school,Total,Total,Total,Total,Total,3,349
202324,Academic year,Local authority,E92000001,England,London,E12000007,318,E09000027,Richmond upon Thames,Total,Total,Total,Total,Total,Total,Total,82,39530
202324,Academic year,Local authority,E92000001,England,London,E12000007,210,E09000028,Southwark,Total,Independent school,Total,Total,Total,Total,Total,13,6083
202324,Academic year,Local authority,E92000001,England,London,E12000007,210,E09000028,Southwark,Total,State-funded AP school,Total,Total,Total,Total,Total,1,45
202324,Academic year,Local authority,E92000001,England,London,E12000007,210,E09000028,Southwark,Total,State-funded nursery,Total,Total,Total,Total,Total,5,447
202324,Academic year,Local authority,E92000001,England,London,E12000007,210,E09000028,Southwark,Total,State-funded primary,Total,Total,Total,Total,Total,69,21235
202324,Academic year,Local authority,E92000001,England,London,E12000007,210,E09000028,Southwark,Total,State-funded secondary,Total,Total,Total,Total,Total,20,19806
202324,Academic year,Local authority,E92000001,England,London,E12000007,210,E09000028,Southwark,Total,State-funded special school,Total,Total,Total,Total,Total,10,901
202324,Academic year,Local authority,E92000001,England,London,E12000007,210,E09000028,Southwark,Total,Total,Total,Total,Total,Total,Total,118,48517
202324,Academic year,Local authority,E92000001,England,London,E12000007,319,E09000029,Sutton,Total,Independent school,Total,Total,Total,Total,Total,6,1686
202324,Academic year,Local authority,E92000001,England,London,E12000007,319,E09000029,Sutton,Total,State-funded AP school,Total,Total,Total,Total,Total,2,109
202324,Academic year,Local authority,E92000001,England,London,E12000007,319,E09000029,Sutton,Total,State-funded nursery,Total,Total,Total,Total,Total,2,155
202324,Academic year,Local authority,E92000001,England,London,E12000007,319,E09000029,Sutton,Total,State-funded primary,Total,Total,Total,Total,Total,41,18870
202324,Academic year,Local authority,E92000001,England,London,E12000007,319,E09000029,Sutton,Total,State-funded secondary,Total,Total,Total,Total,Total,15,21544
202324,Academic year,Local authority,E92000001,England,London,E12000007,319,E09000029,Sutton,Total,State-funded special school,Total,Total,Total,Total,Total,4,669
202324,Academic year,Local authority,E92000001,England,London,E12000007,319,E09000029,Sutton,Total,Total,Total,Total,Total,Total,Total,70,43033
202324,Academic year,Local authority,E92000001,England,London,E12000007,211,E09000030,Tower Hamlets,Total,Independent school,Total,Total,Total,Total,Total,14,2415
202324,Academic year,Local authority,E92000001,England,London,E12000007,211,E09000030,Tower Hamlets,Total,State-funded AP school,Total,Total,Total,Total,Total,1,96
202324,Academic year,Local authority,E92000001,England,London,E12000007,211,E09000030,Tower Hamlets,Total,State-funded nursery,Total,Total,Total,Total,Total,4,322
202324,Academic year,Local authority,E92000001,England,London,E12000007,211,E09000030,Tower Hamlets,Total,State-funded primary,Total,Total,Total,Total,Total,66,24575
202324,Academic year,Local authority,E92000001,England,London,E12000007,211,E09000030,Tower Hamlets,Total,State-funded secondary,Total,Total,Total,Total,Total,18,19873
202324,Academic year,Local authority,E92000001,England,London,E12000007,211,E09000030,Tower Hamlets,Total,State-funded special school,Total,Total,Total,Total,Total,5,813
202324,Academic year,Local authority,E92000001,England,London,E12000007,211,E09000030,Tower Hamlets,Total,Total,Total,Total,Total,Total,Total,108,48094
202324,Academic year,Local authority,E92000001,England,London,E12000007,320,E09000031,Waltham Forest,Total,Independent school,Total,Total,Total,Total,Total,6,2175
202324,Academic year,Local authority,E92000001,England,London,E12000007,320,E09000031,Waltham Forest,Total,State-funded AP school,Total,Total,Total,Total,Total,3,26
202324,Academic year,Local authority,E92000001,England,London,E12000007,320,E09000031,Waltham Forest,Total,State-funded nursery,Total,Total,Total,Total,Total,3,275
202324,Academic year,Local authority,E92000001,England,London,E12000007,320,E09000031,Waltham Forest,Total,State-funded primary,Total,Total,Total,Total,Total,51,24483
202324,Academic year,Local authority,E92000001,England,London,E12000007,320,E09000031,Waltham Forest,Total,State-funded secondary,Total,Total,Total,Total,Total,17,16853
202324,Academic year,Local authority,E92000001,England,London,E12000007,320,E09000031,Waltham Forest,Total,State-funded special school,Total,Total,Total,Total,Total,4,806
202324,Academic year,Local authority,E92000001,England,London,E12000007,320,E09000031,Waltham Forest,Total,Total,Total,Total,Total,Total,Total,84,44618
202324,Academic year,Local authority,E92000001,England,London,E12000007,212,E09000032,Wandsworth,Total,Independent school,Total,Total,Total,Total,Total,31,10067
202324,Academic year,Local authority,E92000001,England,London,E12000007,212,E09000032,Wandsworth,Total,State-funded AP school,Total,Total,Total,Total,Total,3,80
202324,Academic year,Local authority,E92000001,England,London,E12000007,212,E09000032,Wandsworth,Total,State-funded nursery,Total,Total,Total,Total,Total,3,151
202324,Academic year,Local authority,E92000001,England,London,E12000007,212,E09000032,Wandsworth,Total,State-funded primary,Total,Total,Total,Total,Total,61,18357
202324,Academic year,Local authority,E92000001,England,London,E12000007,212,E09000032,Wandsworth,Total,State-funded secondary,Total,Total,Total,Total,Total,11,13158
202324,Academic year,Local authority,E92000001,England,London,E12000007,212,E09000032,Wandsworth,Total,State-funded special school,Total,Total,Total,Total,Total,7,929
202324,Academic year,Local authority,E92000001,England,London,E12000007,212,E09000032,Wandsworth,Total,Total,Total,Total,Total,Total,Total,116,42742
202324,Academic year,Local authority,E92000001,England,London,E12000007,213,E09000033,Westminster,Total,Independent school,Total,Total,Total,Total,Total,33,9865
202324,Academic year,Local authority,E92000001,England,London,E12000007,213,E09000033,Westminster,Total,State-funded AP school,Total,Total,Total,Total,Total,1,60
202324,Academic year,Local authority,E92000001,England,London,E12000007,213,E09000033,Westminster,Total,State-funded nursery,Total,Total,Total,Total,Total,4,268
202324,Academic year,Local authority,E92000001,England,London,E12000007,213,E09000033,Westminster,Total,State-funded primary,Total,Total,Total,Total,Total,37,7914
202324,Academic year,Local authority,E92000001,England,London,E12000007,213,E09000033,Westminster,Total,State-funded secondary,Total,Total,Total,Total,Total,12,12649
202324,Academic year,Local authority,E92000001,England,London,E12000007,213,E09000033,Westminster,Total,State-funded special school,Total,Total,Total,Total,Total,3,263
202324,Academic year,Local authority,E92000001,England,London,E12000007,213,E09000033,Westminster,Total,Total,Total,Total,Total,Total,Total,90,31019
202324,Academic year,Local authority,E92000001,England,North East,E12000001,805,E06000001,Hartlepool,Total,Independent school,Total,Total,Total,Total,Total,2,21
202324,Academic year,Local authority,E92000001,England,North East,E12000001,805,E06000001,Hartlepool,Total,State-funded AP school,Total,Total,Total,Total,Total,1,37
202324,Academic year,Local authority,E92000001,England,North East,E12000001,805,E06000001,Hartlepool,Total,State-funded primary,Total,Total,Total,Total,Total,30,8968
202324,Academic year,Local authority,E92000001,England,North East,E12000001,805,E06000001,Hartlepool,Total,State-funded secondary,Total,Total,Total,Total,Total,5,5870
202324,Academic year,Local authority,E92000001,England,North East,E12000001,805,E06000001,Hartlepool,Total,State-funded special school,Total,Total,Total,Total,Total,2,304
202324,Academic year,Local authority,E92000001,England,North East,E12000001,805,E06000001,Hartlepool,Total,Total,Total,Total,Total,Total,Total,40,15200
202324,Academic year,Local authority,E92000001,England,North East,E12000001,806,E06000002,Middlesbrough,Total,Independent school,Total,Total,Total,Total,Total,3,102
202324,Academic year,Local authority,E92000001,England,North East,E12000001,806,E06000002,Middlesbrough,Total,State-funded AP school,Total,Total,Total,Total,Total,3,104
202324,Academic year,Local authority,E92000001,England,North East,E12000001,806,E06000002,Middlesbrough,Total,State-funded primary,Total,Total,Total,Total,Total,41,15798
202324,Academic year,Local authority,E92000001,England,North East,E12000001,806,E06000002,Middlesbrough,Total,State-funded secondary,Total,Total,Total,Total,Total,8,9276
202324,Academic year,Local authority,E92000001,England,North East,E12000001,806,E06000002,Middlesbrough,Total,State-funded special school,Total,Total,Total,Total,Total,5,685
202324,Academic year,Local authority,E92000001,England,North East,E12000001,806,E06000002,Middlesbrough,Total,Total,Total,Total,Total,Total,Total,60,25965
202324,Academic year,Local authority,E92000001,England,North East,E12000001,807,E06000003,Redcar and Cleveland,Total,Independent school,Total,Total,Total,Total,Total,5,162
202324,Academic year,Local authority,E92000001,England,North East,E12000001,807,E06000003,Redcar and Cleveland,Total,State-funded AP school,Total,Total,Total,Total,Total,1,75
202324,Academic year,Local authority,E92000001,England,North East,E12000001,807,E06000003,Redcar and Cleveland,Total,State-funded primary,Total,Total,Total,Total,Total,44,12121
202324,Academic year,Local authority,E92000001,England,North East,E12000001,807,E06000003,Redcar and Cleveland,Total,State-funded secondary,Total,Total,Total,Total,Total,10,8376
202324,Academic year,Local authority,E92000001,England,North East,E12000001,807,E06000003,Redcar and Cleveland,Total,State-funded special school,Total,Total,Total,Total,Total,4,499
202324,Academic year,Local authority,E92000001,England,North East,E12000001,807,E06000003,Redcar and Cleveland,Total,Total,Total,Total,Total,Total,Total,64,21233
202324,Academic year,Local authority,E92000001,England,North East,E12000001,808,E06000004,Stockton-on-Tees,Total,Independent school,Total,Total,Total,Total,Total,8,2435
202324,Academic year,Local authority,E92000001,England,North East,E12000001,808,E06000004,Stockton-on-Tees,Total,State-funded AP school,Total,Total,Total,Total,Total,1,62
202324,Academic year,Local authority,E92000001,England,North East,E12000001,808,E06000004,Stockton-on-Tees,Total,State-funded primary,Total,Total,Total,Total,Total,60,18899
202324,Academic year,Local authority,E92000001,England,North East,E12000001,808,E06000004,Stockton-on-Tees,Total,State-funded secondary,Total,Total,Total,Total,Total,13,12626
202324,Academic year,Local authority,E92000001,England,North East,E12000001,808,E06000004,Stockton-on-Tees,Total,State-funded special school,Total,Total,Total,Total,Total,4,657
202324,Academic year,Local authority,E92000001,England,North East,E12000001,808,E06000004,Stockton-on-Tees,Total,Total,Total,Total,Total,Total,Total,86,34679
202324,Academic year,Local authority,E92000001,England,North East,E12000001,841,E06000005,Darlington,Total,Independent school,Total,Total,Total,Total,Total,4,127
202324,Academic year,Local authority,E92000001,England,North East,E12000001,841,E06000005,Darlington,Total,State-funded AP school,Total,Total,Total,Total,Total,1,59
202324,Academic year,Local authority,E92000001,England,North East,E12000001,841,E06000005,Darlington,Total,State-funded nursery,Total,Total,Total,Total,Total,2,210
202324,Academic year,Local authority,E92000001,England,North East,E12000001,841,E06000005,Darlington,Total,State-funded primary,Total,Total,Total,Total,Total,29,8840
202324,Academic year,Local authority,E92000001,England,North East,E12000001,841,E06000005,Darlington,Total,State-funded secondary,Total,Total,Total,Total,Total,8,6820
202324,Academic year,Local authority,E92000001,England,North East,E12000001,841,E06000005,Darlington,Total,State-funded special school,Total,Total,Total,Total,Total,2,381
202324,Academic year,Local authority,E92000001,England,North East,E12000001,841,E06000005,Darlington,Total,Total,Total,Total,Total,Total,Total,46,16437
202324,Academic year,Local authority,E92000001,England,North East,E12000001,840,E06000047,County Durham,Total,Independent school,Total,Total,Total,Total,Total,9,1991
202324,Academic year,Local authority,E92000001,England,North East,E12000001,840,E06000047,County Durham,Total,State-funded AP school,Total,Total,Total,Total,Total,2,274
202324,Academic year,Local authority,E92000001,England,North East,E12000001,840,E06000047,County Durham,Total,State-funded nursery,Total,Total,Total,Total,Total,11,859
202324,Academic year,Local authority,E92000001,England,North East,E12000001,840,E06000047,County Durham,Total,State-funded primary,Total,Total,Total,Total,Total,211,40697
202324,Academic year,Local authority,E92000001,England,North East,E12000001,840,E06000047,County Durham,Total,State-funded secondary,Total,Total,Total,Total,Total,31,30498
202324,Academic year,Local authority,E92000001,England,North East,E12000001,840,E06000047,County Durham,Total,State-funded special school,Total,Total,Total,Total,Total,9,1735
202324,Academic year,Local authority,E92000001,England,North East,E12000001,840,E06000047,County Durham,Total,Total,Total,Total,Total,Total,Total,273,76054
202324,Academic year,Local authority,E92000001,England,North East,E12000001,929,E06000057,Northumberland,Total,Independent school,Total,Total,Total,Total,Total,6,659
202324,Academic year,Local authority,E92000001,England,North East,E12000001,929,E06000057,Northumberland,Total,State-funded AP school,Total,Total,Total,Total,Total,1,35
202324,Academic year,Local authority,E92000001,England,North East,E12000001,929,E06000057,Northumberland,Total,State-funded primary,Total,Total,Total,Total,Total,127,21625
202324,Academic year,Local authority,E92000001,England,North East,E12000001,929,E06000057,Northumberland,Total,State-funded secondary,Total,Total,Total,Total,Total,30,22089
202324,Academic year,Local authority,E92000001,England,North East,E12000001,929,E06000057,Northumberland,Total,State-funded special school,Total,Total,Total,Total,Total,10,1320
202324,Academic year,Local authority,E92000001,England,North East,E12000001,929,E06000057,Northumberland,Total,Total,Total,Total,Total,Total,Total,174,45728
202324,Academic year,Local authority,E92000001,England,North East,E12000001,391,E08000021,Newcastle upon Tyne,Total,Independent school,Total,Total,Total,Total,Total,7,4173
202324,Academic year,Local authority,E92000001,England,North East,E12000001,391,E08000021,Newcastle upon Tyne,Total,Non-maintained special school,Total,Total,Total,Total,Total,2,128
202324,Academic year,Local authority,E92000001,England,North East,E12000001,391,E08000021,Newcastle upon Tyne,Total,State-funded AP school,Total,Total,Total,Total,Total,2,113
202324,Academic year,Local authority,E92000001,England,North East,E12000001,391,E08000021,Newcastle upon Tyne,Total,State-funded nursery,Total,Total,Total,Total,Total,3,312
202324,Academic year,Local authority,E92000001,England,North East,E12000001,391,E08000021,Newcastle upon Tyne,Total,State-funded primary,Total,Total,Total,Total,Total,72,23059
202324,Academic year,Local authority,E92000001,England,North East,E12000001,391,E08000021,Newcastle upon Tyne,Total,State-funded secondary,Total,Total,Total,Total,Total,17,18328
202324,Academic year,Local authority,E92000001,England,North East,E12000001,391,E08000021,Newcastle upon Tyne,Total,State-funded special school,Total,Total,Total,Total,Total,4,925
202324,Academic year,Local authority,E92000001,England,North East,E12000001,391,E08000021,Newcastle upon Tyne,Total,Total,Total,Total,Total,Total,Total,107,47038
202324,Academic year,Local authority,E92000001,England,North East,E12000001,392,E08000022,North Tyneside,Total,Independent school,Total,Total,Total,Total,Total,3,88
202324,Academic year,Local authority,E92000001,England,North East,E12000001,392,E08000022,North Tyneside,Total,Non-maintained special school,Total,Total,Total,Total,Total,1,155
202324,Academic year,Local authority,E92000001,England,North East,E12000001,392,E08000022,North Tyneside,Total,State-funded AP school,Total,Total,Total,Total,Total,1,166
202324,Academic year,Local authority,E92000001,England,North East,E12000001,392,E08000022,North Tyneside,Total,State-funded nursery,Total,Total,Total,Total,Total,1,85
202324,Academic year,Local authority,E92000001,England,North East,E12000001,392,E08000022,North Tyneside,Total,State-funded primary,Total,Total,Total,Total,Total,55,16203
202324,Academic year,Local authority,E92000001,England,North East,E12000001,392,E08000022,North Tyneside,Total,State-funded secondary,Total,Total,Total,Total,Total,16,14277
202324,Academic year,Local authority,E92000001,England,North East,E12000001,392,E08000022,North Tyneside,Total,State-funded special school,Total,Total,Total,Total,Total,5,824
202324,Academic year,Local authority,E92000001,England,North East,E12000001,392,E08000022,North Tyneside,Total,Total,Total,Total,Total,Total,Total,82,31798
202324,Academic year,Local authority,E92000001,England,North East,E12000001,393,E08000023,South Tyneside,Total,State-funded AP school,Total,Total,Total,Total,Total,1,62
202324,Academic year,Local authority,E92000001,England,North East,E12000001,393,E08000023,South Tyneside,Total,State-funded nursery,Total,Total,Total,Total,Total,4,325
202324,Academic year,Local authority,E92000001,England,North East,E12000001,393,E08000023,South Tyneside,Total,State-funded primary,Total,Total,Total,Total,Total,45,12698
202324,Academic year,Local authority,E92000001,England,North East,E12000001,393,E08000023,South Tyneside,Total,State-funded secondary,Total,Total,Total,Total,Total,8,9560
202324,Academic year,Local authority,E92000001,England,North East,E12000001,393,E08000023,South Tyneside,Total,State-funded special school,Total,Total,Total,Total,Total,4,648
202324,Academic year,Local authority,E92000001,England,North East,E12000001,393,E08000023,South Tyneside,Total,Total,Total,Total,Total,Total,Total,62,23293
202324,Academic year,Local authority,E92000001,England,North East,E12000001,394,E08000024,Sunderland,Total,Independent school,Total,Total,Total,Total,Total,4,422
202324,Academic year,Local authority,E92000001,England,North East,E12000001,394,E08000024,Sunderland,Total,State-funded AP school,Total,Total,Total,Total,Total,3,125
202324,Academic year,Local authority,E92000001,England,North East,E12000001,394,E08000024,Sunderland,Total,State-funded nursery,Total,Total,Total,Total,Total,7,728
202324,Academic year,Local authority,E92000001,England,North East,E12000001,394,E08000024,Sunderland,Total,State-funded primary,Total,Total,Total,Total,Total,81,23109
202324,Academic year,Local authority,E92000001,England,North East,E12000001,394,E08000024,Sunderland,Total,State-funded secondary,Total,Total,Total,Total,Total,18,16933
202324,Academic year,Local authority,E92000001,England,North East,E12000001,394,E08000024,Sunderland,Total,State-funded special school,Total,Total,Total,Total,Total,7,1015
202324,Academic year,Local authority,E92000001,England,North East,E12000001,394,E08000024,Sunderland,Total,Total,Total,Total,Total,Total,Total,120,42332
202324,Academic year,Local authority,E92000001,England,North East,E12000001,390,E08000037,Gateshead,Total,Independent school,Total,Total,Total,Total,Total,8,1555
202324,Academic year,Local authority,E92000001,England,North East,E12000001,390,E08000037,Gateshead,Total,State-funded AP school,Total,Total,Total,Total,Total,1,111
202324,Academic year,Local authority,E92000001,England,North East,E12000001,390,E08000037,Gateshead,Total,State-funded nursery,Total,Total,Total,Total,Total,1,85
202324,Academic year,Local authority,E92000001,England,North East,E12000001,390,E08000037,Gateshead,Total,State-funded primary,Total,Total,Total,Total,Total,67,15829
202324,Academic year,Local authority,E92000001,England,North East,E12000001,390,E08000037,Gateshead,Total,State-funded secondary,Total,Total,Total,Total,Total,10,12311
202324,Academic year,Local authority,E92000001,England,North East,E12000001,390,E08000037,Gateshead,Total,State-funded special school,Total,Total,Total,Total,Total,6,768
202324,Academic year,Local authority,E92000001,England,North East,E12000001,390,E08000037,Gateshead,Total,Total,Total,Total,Total,Total,Total,93,30659
202324,Academic year,Local authority,E92000001,England,North West,E12000002,876,E06000006,Halton,Total,Independent school,Total,Total,Total,Total,Total,4,67
202324,Academic year,Local authority,E92000001,England,North West,E12000002,876,E06000006,Halton,Total,State-funded AP school,Total,Total,Total,Total,Total,1,62
202324,Academic year,Local authority,E92000001,England,North West,E12000002,876,E06000006,Halton,Total,State-funded nursery,Total,Total,Total,Total,Total,3,194
202324,Academic year,Local authority,E92000001,England,North West,E12000002,876,E06000006,Halton,Total,State-funded primary,Total,Total,Total,Total,Total,49,9955
202324,Academic year,Local authority,E92000001,England,North West,E12000002,876,E06000006,Halton,Total,State-funded secondary,Total,Total,Total,Total,Total,8,8138
202324,Academic year,Local authority,E92000001,England,North West,E12000002,876,E06000006,Halton,Total,State-funded special school,Total,Total,Total,Total,Total,4,431
202324,Academic year,Local authority,E92000001,England,North West,E12000002,876,E06000006,Halton,Total,Total,Total,Total,Total,Total,Total,69,18847
202324,Academic year,Local authority,E92000001,England,North West,E12000002,877,E06000007,Warrington,Total,Independent school,Total,Total,Total,Total,Total,2,88
202324,Academic year,Local authority,E92000001,England,North West,E12000002,877,E06000007,Warrington,Total,Non-maintained special school,Total,Total,Total,Total,Total,1,50
202324,Academic year,Local authority,E92000001,England,North West,E12000002,877,E06000007,Warrington,Total,State-funded AP school,Total,Total,Total,Total,Total,1,14
202324,Academic year,Local authority,E92000001,England,North West,E12000002,877,E06000007,Warrington,Total,State-funded nursery,Total,Total,Total,Total,Total,1,92
202324,Academic year,Local authority,E92000001,England,North West,E12000002,877,E06000007,Warrington,Total,State-funded primary,Total,Total,Total,Total,Total,69,18603
202324,Academic year,Local authority,E92000001,England,North West,E12000002,877,E06000007,Warrington,Total,State-funded secondary,Total,Total,Total,Total,Total,13,14205
202324,Academic year,Local authority,E92000001,England,North West,E12000002,877,E06000007,Warrington,Total,State-funded special school,Total,Total,Total,Total,Total,3,426
202324,Academic year,Local authority,E92000001,England,North West,E12000002,877,E06000007,Warrington,Total,Total,Total,Total,Total,Total,Total,90,33478
202324,Academic year,Local authority,E92000001,England,North West,E12000002,889,E06000008,Blackburn with Darwen,Total,Independent school,Total,Total,Total,Total,Total,11,2092
202324,Academic year,Local authority,E92000001,England,North West,E12000002,889,E06000008,Blackburn with Darwen,Total,State-funded AP school,Total,Total,Total,Total,Total,2,85
202324,Academic year,Local authority,E92000001,England,North West,E12000002,889,E06000008,Blackburn with Darwen,Total,State-funded nursery,Total,Total,Total,Total,Total,4,275
202324,Academic year,Local authority,E92000001,England,North West,E12000002,889,E06000008,Blackburn with Darwen,Total,State-funded primary,Total,Total,Total,Total,Total,56,15702
202324,Academic year,Local authority,E92000001,England,North West,E12000002,889,E06000008,Blackburn with Darwen,Total,State-funded secondary,Total,Total,Total,Total,Total,12,11791
202324,Academic year,Local authority,E92000001,England,North West,E12000002,889,E06000008,Blackburn with Darwen,Total,State-funded special school,Total,Total,Total,Total,Total,3,421
202324,Academic year,Local authority,E92000001,England,North West,E12000002,889,E06000008,Blackburn with Darwen,Total,Total,Total,Total,Total,Total,Total,88,30366
202324,Academic year,Local authority,E92000001,England,North West,E12000002,890,E06000009,Blackpool,Total,Independent school,Total,Total,Total,Total,Total,4,86
202324,Academic year,Local authority,E92000001,England,North West,E12000002,890,E06000009,Blackpool,Total,State-funded AP school,Total,Total,Total,Total,Total,1,115
202324,Academic year,Local authority,E92000001,England,North West,E12000002,890,E06000009,Blackpool,Total,State-funded primary,Total,Total,Total,Total,Total,30,11591
202324,Academic year,Local authority,E92000001,England,North West,E12000002,890,E06000009,Blackpool,Total,State-funded secondary,Total,Total,Total,Total,Total,8,7715
202324,Academic year,Local authority,E92000001,England,North West,E12000002,890,E06000009,Blackpool,Total,State-funded special school,Total,Total,Total,Total,Total,4,593
202324,Academic year,Local authority,E92000001,England,North West,E12000002,890,E06000009,Blackpool,Total,Total,Total,Total,Total,Total,Total,47,20100
202324,Academic year,Local authority,E92000001,England,North West,E12000002,895,E06000049,Cheshire East,Total,Independent school,Total,Total,Total,Total,Total,16,3275
202324,Academic year,Local authority,E92000001,England,North West,E12000002,895,E06000049,Cheshire East,Total,Non-maintained special school,Total,Total,Total,Total,Total,1,22
202324,Academic year,Local authority,E92000001,England,North West,E12000002,895,E06000049,Cheshire East,Total,State-funded AP school,Total,Total,Total,Total,Total,2,62
202324,Academic year,Local authority,E92000001,England,North West,E12000002,895,E06000049,Cheshire East,Total,State-funded nursery,Total,Total,Total,Total,Total,1,74
202324,Academic year,Local authority,E92000001,England,North West,E12000002,895,E06000049,Cheshire East,Total,State-funded primary,Total,Total,Total,Total,Total,123,31281
202324,Academic year,Local authority,E92000001,England,North West,E12000002,895,E06000049,Cheshire East,Total,State-funded secondary,Total,Total,Total,Total,Total,23,25194
202324,Academic year,Local authority,E92000001,England,North West,E12000002,895,E06000049,Cheshire East,Total,State-funded special school,Total,Total,Total,Total,Total,6,650
202324,Academic year,Local authority,E92000001,England,North West,E12000002,895,E06000049,Cheshire East,Total,Total,Total,Total,Total,Total,Total,172,60558
202324,Academic year,Local authority,E92000001,England,North West,E12000002,896,E06000050,Cheshire West and Chester,Total,Independent school,Total,Total,Total,Total,Total,12,4099
202324,Academic year,Local authority,E92000001,England,North West,E12000002,896,E06000050,Cheshire West and Chester,Total,State-funded AP school,Total,Total,Total,Total,Total,2,72
202324,Academic year,Local authority,E92000001,England,North West,E12000002,896,E06000050,Cheshire West and Chester,Total,State-funded primary,Total,Total,Total,Total,Total,129,28778
202324,Academic year,Local authority,E92000001,England,North West,E12000002,896,E06000050,Cheshire West and Chester,Total,State-funded secondary,Total,Total,Total,Total,Total,20,21695
202324,Academic year,Local authority,E92000001,England,North West,E12000002,896,E06000050,Cheshire West and Chester,Total,State-funded special school,Total,Total,Total,Total,Total,10,1141
202324,Academic year,Local authority,E92000001,England,North West,E12000002,896,E06000050,Cheshire West and Chester,Total,Total,Total,Total,Total,Total,Total,173,55785
202324,Academic year,Local authority,E92000001,England,North West,E12000002,942,E06000063,Cumberland,Total,Independent school,Total,Total,Total,Total,Total,5,648
202324,Academic year,Local authority,E92000001,England,North West,E12000002,942,E06000063,Cumberland,Total,State-funded AP school,Total,Total,Total,Total,Total,2,112
202324,Academic year,Local authority,E92000001,England,North West,E12000002,942,E06000063,Cumberland,Total,State-funded nursery,Total,Total,Total,Total,Total,3,144
202324,Academic year,Local authority,E92000001,England,North West,E12000002,942,E06000063,Cumberland,Total,State-funded primary,Total,Total,Total,Total,Total,145,22131
202324,Academic year,Local authority,E92000001,England,North West,E12000002,942,E06000063,Cumberland,Total,State-funded secondary,Total,Total,Total,Total,Total,19,17022
202324,Academic year,Local authority,E92000001,England,North West,E12000002,942,E06000063,Cumberland,Total,State-funded special school,Total,Total,Total,Total,Total,3,479
202324,Academic year,Local authority,E92000001,England,North West,E12000002,942,E06000063,Cumberland,Total,Total,Total,Total,Total,Total,Total,177,40536
202324,Academic year,Local authority,E92000001,England,North West,E12000002,943,E06000064,Westmorland and Furness,Total,Independent school,Total,Total,Total,Total,Total,14,1456
202324,Academic year,Local authority,E92000001,England,North West,E12000002,943,E06000064,Westmorland and Furness,Total,State-funded AP school,Total,Total,Total,Total,Total,1,45
202324,Academic year,Local authority,E92000001,England,North West,E12000002,943,E06000064,Westmorland and Furness,Total,State-funded nursery,Total,Total,Total,Total,Total,2,152
202324,Academic year,Local authority,E92000001,England,North West,E12000002,943,E06000064,Westmorland and Furness,Total,State-funded primary,Total,Total,Total,Total,Total,122,16265
202324,Academic year,Local authority,E92000001,England,North West,E12000002,943,E06000064,Westmorland and Furness,Total,State-funded secondary,Total,Total,Total,Total,Total,20,14132
202324,Academic year,Local authority,E92000001,England,North West,E12000002,943,E06000064,Westmorland and Furness,Total,State-funded special school,Total,Total,Total,Total,Total,3,298
202324,Academic year,Local authority,E92000001,England,North West,E12000002,943,E06000064,Westmorland and Furness,Total,Total,Total,Total,Total,Total,Total,162,32348
